Symbol,ProductionYear,PrvsClose,Close,High,Low,Change,Vol_in_Ton,WarehouseName
WYCAQ2,2013,0,2300,2300,2300,0,10.80,Dilla
WYCAQ1,2012,2550,2500,2500,2500,50,10.80,Dilla
WKFQ2,2013,1983,1963,1963,1963,20,39.59,Bonga
WGJQ1,2012,2500,2387,2400,2380,113,25.99,Bule Hora
WGDQ2,2013,1756,1813,1813,1813,57,18.00,Bonga
WAMQ2,2013,0,2100,2100,2100,0,18.00,Hawassa
USK9,2012,1434,1430,1430,1430,4,20.40,Bonga
USK9,2012,1434,1300,1430,1430,4,20.40,Bonga
USK9,2012,1434,1500,1430,1430,4,20.40,Bonga
USK9,2012,1434,1430,1430,1430,4,20.40,Bonga
USK8,2013,1465,1465,1465,1465,0,6.78,Bonga
USK7,2013,1561,1555,1555,1555,6,7.65,Bonga
USDE6,2013,1641,1647,1647,1647,6,5.10,WolayitaSodo
USDE5,2013,1650,1656,1660,1650,6,8.52,WolayitaSodo
USDE4,2013,1702,1725,1725,1725,23,5.10,WolayitaSodo
UKW8,2012,1590,1580,1580,1580,10,13.41,Gimbi
UKW6,2012,1827,1810,1810,1810,17,10.20,Gimbi
UKF9,2012,1435,1425,1425,1425,10,5.53,Bonga
UJM8,2012,1430,1452,1454,1451,22,26.32,Jimma
UIB7,2012,1620,1590,1620,1560,30,44.78,
UIB6,2012,1694,1690,1707,1680,4,55.93,Bedelle
UIB6,2012,1690,1685,1685,1685,5,18.16,
UGM9,2012,1421,1425,1425,1425,4,10.68,Gimbi
UGM8,2012,1587,1587,1590,1580,0,49.52,Gimbi
UGM7,2012,1700,1698,1700,1690,2,23.49,Gimbi
UGM6,2012,1798,1811,1833,1800,13,94.11,Gimbi
UGJQ1,2012,2400,2640,2640,2640,240,18.65,Bule Hora
UGJ4,2012,1957,2000,2000,2000,43,20.40,Hawassa
UGD9,2012,1435,1430,1430,1430,5,5.66,Bonga
UGD9,2013,0,1430,1430,1430,0,5.10,Bonga
UBM9,2012,1425,1430,1430,1430,5,12.75,Bonga
UBM7,2012,1571,1555,1555,1555,16,5.10,Bonga
LWSD2,2012,2018,1829,1829,1829,189,8.48,Hawassa
LWBP2,2010,2301,2001,2001,2001,300,7.65,SarisCoffee
LWBP1,2010,2167,2094,2152,2065,73,11.51,SarisCoffee
LUBPAA4,2010,1516,1504,1533,1480,12,17.17,SarisCoffee
LUBPAA4,2012,1530,1530,1630,1500,0,73.61,SarisCoffee
LUBPAA3,2010,1584,1564,1603,1500,20,11.71,SarisCoffee
LUBPAA2,2010,1799,1753,1753,1753,46,15.30,SarisCoffee
LUBPAA2,2012,1757,1787,1787,1787,30,5.10,SarisCoffee
WGJQ1,2012,2500,2387,2400,2380,113,25.99,Bule Hora
WGJQ1,2012,2500,2387,2400,2380,113,25.99,Bule Hora
