Trade_Date,Symbol,Warehouse,ProductionYear,Opening_Price,Close,High,Low,Change,Persetntage Change,Volume (Ton)
07/08/2020,WYCBUGnp,DL,2012,"1,700.00","1,700.00","1,700.00","1,700.00",300,21.0%,2.79
07/16/2020,WYCB4,DL,2012,"2,300.00","2,300.00","2,300.00","2,300.00",0,0.0 ,12.07
08/04/2020,WYCB4,DL,2012,"2,300.00","2,300.00","2,300.00","2,300.00",0,0.0%,10.8
08/03/2020,WYCAQ2,DL,2012,"2,650.00","2,650.00","2,650.00","2,650.00",30,1.0%,6.49
08/12/2020,WYCAQ2,DL,2012,"2,600.00","2,600.00","2,600.00","2,600.00",50,1.0%,8.99
08/13/2020,WYCAQ2,DL,2012,"2,400.00","2,400.00","2,400.00","2,400.00",200,7.0%,6.27
08/17/2020,WYCAQ2,DL,2012,"2,500.00","2,500.00","2,500.00","2,500.00",100,4.0%,3.4
08/25/2020,WYCAQ2,DL,2012,"2,550.00","2,550.00","2,550.00","2,550.00",50,2.0%,18.84
08/26/2020,WYCAQ2,DL,2012,"2,500.00","2,500.00","2,500.00","2,500.00",50,1.0%,5.41
08/27/2020,WYCAQ2,DL,2012,"2,600.00","2,600.00","2,600.00","2,600.00",100,4.0%,5.41
07/15/2020,WYCAQ2,DL,2012,"2,630.00","2,630.00","2,630.00","2,630.00",70,2.0%,10.8
07/10/2020,WYCAQ2,DL,2012,"2,560.00","2,560.00","2,560.00","2,560.00",70,2.0%,8.99
07/08/2020,WYCAQ2,DL,2012,"2,650.00","2,650.00","2,650.00","2,650.00",0,0.0%,4.22
07/09/2020,WYCAQ2,DL,2012,"2,630.00","2,630.00","2,630.00","2,630.00",20,0.0%,4.01
07/07/2020,WYCAQ2,DL,2012,"2,650.00","2,650.00","2,650.00","2,650.00",0,0.0%,23.14
07/23/2020,WYCAQ2,DL,2012,"2,630.00","2,605.00","2,630.00","2,580.00",25,0.0%,18
07/28/2020,WYCAQ2,DL,2012,"2,620.00","2,620.00","2,620.00","2,620.00",15,0.0%,7.72
09/07/2020,WYCAQ2,DL,2012,"2,500.00","2,500.00","2,500.00","2,500.00",100,3.0%,8.99
09/17/2020,WYCAQ2,DL,2012,"2,400.00","2,400.00","2,400.00","2,400.00",100,4.0%,8.99
09/21/2020,WYCAQ2,DL,2012,"2,400.00","2,400.00","2,400.00","2,400.00",0,0.0%,6.38
09/22/2020,WYCAQ2,DL,2012,"2,403.00","2,401.00","2,403.00","2,400.00",1,0.0%,18
11/06/2020,WYCAQ2,DL,2012,"2,300.00","2,300.00","2,300.00","2,300.00",101,4.0%,3.6
11/18/2020,WYCAQ2,DL,2013,"2,300.00","2,300.00","2,300.00","2,300.00",0,0.0 ,10.8
07/29/2020,WYCAQ1,DL,2012,"2,900.00","2,900.00","2,900.00","2,900.00",150,5.0%,15.71
07/30/2020,WYCAQ1,DL,2012,"2,750.00","2,750.00","2,750.00","2,750.00",150,5.0%,5.41
07/24/2020,WYCAQ1,DL,2012,"3,105.00","2,959.00","3,105.00","2,715.00",259,9.0%,14.4
07/27/2020,WYCAQ1,DL,2012,"2,750.00","2,750.00","2,750.00","2,750.00",209,7.0%,10.8
07/22/2020,WYCAQ1,DL,2012,"2,700.00","2,700.00","2,700.00","2,700.00",50,1.0%,8.99
07/21/2020,WYCAQ1,DL,2012,"2,750.00","2,750.00","2,750.00","2,750.00",14,0.0%,5.41
07/17/2020,WYCAQ1,DL,2012,"2,750.00","2,750.00","2,750.00","2,750.00",0,0.0%,18
07/20/2020,WYCAQ1,DL,2012,"2,750.00","2,736.00","2,750.00","2,700.00",14,0.0%,17.51
07/07/2020,WYCAQ1,DL,2012,"2,800.00","2,800.00","2,800.00","2,800.00",0,0.0%,10.8
07/06/2020,WYCAQ1,DL,2012,"2,800.00","2,800.00","2,800.00","2,800.00",131,4.0%,5.41
07/09/2020,WYCAQ1,DL,2012,"2,801.00","2,801.00","2,801.00","2,801.00",20,0.0%,8.11
07/08/2020,WYCAQ1,DL,2012,"2,800.00","2,781.00","3,000.00","2,680.00",19,0.0%,19.13
07/10/2020,WYCAQ1,DL,2012,"2,750.00","2,750.00","2,750.00","2,750.00",51,1.0%,12.6
07/14/2020,WYCAQ1,DL,2012,"3,000.00","3,000.00","3,000.00","3,000.00",250,9.0%,10.8
07/15/2020,WYCAQ1,DL,2012,"2,750.00","2,750.00","2,750.00","2,750.00",250,8.0%,5.41
07/16/2020,WYCAQ1,DL,2012,"2,750.00","2,750.00","2,750.00","2,750.00",0,0.0%,9.5
08/26/2020,WYCAQ1,DL,2012,"3,000.00","2,926.00","3,000.00","2,760.00",146,5.0%,14.82
08/20/2020,WYCAQ1,DL,2012,"2,780.00","2,780.00","2,780.00","2,780.00",80,2.0%,5.88
08/12/2020,WYCAQ1,DL,2012,"2,700.00","2,700.00","2,700.00","2,700.00",50,1.0%,5.41
08/05/2020,WYCAQ1,DL,2012,"2,750.00","2,750.00","2,750.00","2,750.00",0,0.0%,5.41
11/16/2020,WYCAQ1,DL,2012,"2,550.00","2,550.00","2,550.00","2,550.00",150,5.0%,10.8
10/12/2020,WYCAQ1,DL,2012,"2,700.00","2,700.00","2,700.00","2,700.00",56,2.0%,8.99
09/07/2020,WYCAQ1,DL,2012,"2,760.00","2,760.00","2,760.00","2,760.00",4,0.0%,10.8
09/08/2020,WYCAQ1,DL,2012,"2,760.00","2,760.00","2,760.00","2,760.00",0,0.0%,5.41
09/04/2020,WYCAQ1,DL,2012,"2,750.00","2,764.00","2,800.00","2,750.00",162,5.0%,53.04
11/18/2020,WYCAQ1,DL,2012,"2,500.00","2,500.00","2,500.00","2,500.00",50,1.0%,10.8
08/06/2020,WYCA4,DL,2012,"2,200.00","2,200.00","2,200.00","2,200.00",200,8.0%,12.6
08/10/2020,WYCA4,DL,2012,"2,200.00","2,200.00","2,200.00","2,200.00",0,0.0%,4.05
09/14/2020,WYCA4,DL,2012,"2,200.00","2,200.00","2,200.00","2,200.00",0,0.0%,21.61
09/28/2020,WYCA4,DL,2012,"2,100.00","2,100.00","2,100.00","2,100.00",100,4.0%,11.83
08/14/2020,WYCA3,DL,2012,"2,500.00","2,500.00","2,500.00","2,500.00",0,0.0%,3.23
08/06/2020,WYCA3,DL,2012,"2,500.00","2,500.00","2,500.00","2,500.00",100,4.0%,5.41
08/03/2020,WYCA3,DL,2012,"2,400.00","2,400.00","2,400.00","2,400.00",100,4.0%,4.79
08/04/2020,WYCA3,DL,2012,"2,400.00","2,400.00","2,400.00","2,400.00",0,0.0%,2.65
08/27/2020,WYCA3,DL,2012,"2,400.00","2,400.00","2,400.00","2,400.00",100,4.0%,12.6
07/16/2020,WYCA3,DL,2012,"2,550.00","2,500.00","2,550.00","2,470.00",35,1.0%,14.4
07/15/2020,WYCA3,DL,2012,"2,465.00","2,465.00","2,465.00","2,465.00",85,3.0%,8.99
07/08/2020,WYCA3,DL,2012,"2,550.00","2,550.00","2,550.00","2,550.00",80,3.0%,8.99
07/09/2020,WYCA3,DL,2012,"2,550.00","2,550.00","2,550.00","2,550.00",0,0.0%,7.21
07/06/2020,WYCA3,DL,2012,"2,470.00","2,470.00","2,470.00","2,470.00",60,2.0%,7.72
07/17/2020,WYCA3,DL,2012,"2,500.00","2,500.00","2,500.00","2,500.00",0,0.0%,8.99
07/21/2020,WYCA3,DL,2012,"2,500.00","2,500.00","2,500.00","2,500.00",0,0.0%,8.64
07/27/2020,WYCA3,DL,2012,"2,500.00","2,500.00","2,500.00","2,500.00",0,0.0%,3.6
